plot,variety,irrigation,x,y,t,i,n
1A,Burwood-Prize,overhead-sprays,2,32,1,0,1
1A,Burwood-Prize,overhead-sprays,2,32,2,1,1
1A,Burwood-Prize,overhead-sprays,2,32,3,1,1
1A,Burwood-Prize,overhead-sprays,2,32,4,1,1
1A,Burwood-Prize,overhead-sprays,2,32,5,1,1
1A,Burwood-Prize,overhead-sprays,2,32,6,1,1
1A,Burwood-Prize,overhead-sprays,2,33,1,1,1
1A,Burwood-Prize,overhead-sprays,2,33,2,1,1
1A,Burwood-Prize,overhead-sprays,2,33,3,1,1
1A,Burwood-Prize,overhead-sprays,2,33,4,1,1
1A,Burwood-Prize,overhead-sprays,2,33,5,1,1
1A,Burwood-Prize,overhead-sprays,2,33,6,1,1
1A,Burwood-Prize,overhead-sprays,3,1,1,0,1
1A,Burwood-Prize,overhead-sprays,3,1,2,1,1
1A,Burwood-Prize,overhead-sprays,3,1,3,1,1
1A,Burwood-Prize,overhead-sprays,3,1,4,1,1
1A,Burwood-Prize,overhead-sprays,3,1,5,1,1
1A,Burwood-Prize,overhead-sprays,3,1,6,1,1
1A,Burwood-Prize,overhead-sprays,3,2,1,0,1
1A,Burwood-Prize,overhead-sprays,3,2,2,0,1
1A,Burwood-Prize,overhead-sprays,3,2,3,0,1
1A,Burwood-Prize,overhead-sprays,3,2,4,0,1
1A,Burwood-Prize,overhead-sprays,3,2,5,0,1
1A,Burwood-Prize,overhead-sprays,3,2,6,1,1
1A,Burwood-Prize,overhead-sprays,3,3,1,0,1
1A,Burwood-Prize,overhead-sprays,3,3,2,0,1
1A,Burwood-Prize,overhead-sprays,3,3,3,1,1
1A,Burwood-Prize,overhead-sprays,3,3,4,1,1
1A,Burwood-Prize,overhead-sprays,3,3,5,1,1
1A,Burwood-Prize,overhead-sprays,3,3,6,1,1
1A,Burwood-Prize,overhead-sprays,3,4,1,0,1
1A,Burwood-Prize,overhead-sprays,3,4,2,0,1
1A,Burwood-Prize,overhead-sprays,3,4,3,0,1
1A,Burwood-Prize,overhead-sprays,3,4,4,1,1
1A,Burwood-Prize,overhead-sprays,3,4,5,1,1
1A,Burwood-Prize,overhead-sprays,3,4,6,1,1
1A,Burwood-Prize,overhead-sprays,3,5,1,0,1
1A,Burwood-Prize,overhead-sprays,3,5,2,0,1
1A,Burwood-Prize,overhead-sprays,3,5,3,0,1
1A,Burwood-Prize,overhead-sprays,3,5,4,0,1
1A,Burwood-Prize,overhead-sprays,3,5,5,1,1
1A,Burwood-Prize,overhead-sprays,3,5,6,1,1
1A,Burwood-Prize,overhead-sprays,3,6,1,1,1
1A,Burwood-Prize,overhead-sprays,3,6,2,1,1
1A,Burwood-Prize,overhead-sprays,3,6,3,1,1
1A,Burwood-Prize,overhead-sprays,3,6,4,1,1
1A,Burwood-Prize,overhead-sprays,3,6,5,1,1
1A,Burwood-Prize,overhead-sprays,3,6,6,1,1
1A,Burwood-Prize,overhead-sprays,3,7,1,0,1
1A,Burwood-Prize,overhead-sprays,3,7,2,1,1
1A,Burwood-Prize,overhead-sprays,3,7,3,1,1
1A,Burwood-Prize,overhead-sprays,3,7,4,1,1
1A,Burwood-Prize,overhead-sprays,3,7,5,1,1
1A,Burwood-Prize,overhead-sprays,3,7,6,1,1
1A,Burwood-Prize,overhead-sprays,3,8,1,1,1
1A,Burwood-Prize,overhead-sprays,3,8,2,1,1
1A,Burwood-Prize,overhead-sprays,3,8,3,1,1
1A,Burwood-Prize,overhead-sprays,3,8,4,1,1
1A,Burwood-Prize,overhead-sprays,3,8,5,1,1
1A,Burwood-Prize,overhead-sprays,3,8,6,1,1
1A,Burwood-Prize,overhead-sprays,3,9,1,1,1
1A,Burwood-Prize,overhead-sprays,3,9,2,1,1
1A,Burwood-Prize,overhead-sprays,3,9,3,1,1
1A,Burwood-Prize,overhead-sprays,3,9,4,1,1
1A,Burwood-Prize,overhead-sprays,3,9,5,1,1
1A,Burwood-Prize,overhead-sprays,3,9,6,1,1
1A,Burwood-Prize,overhead-sprays,3,10,1,0,1
1A,Burwood-Prize,overhead-sprays,3,10,2,1,1
1A,Burwood-Prize,overhead-sprays,3,10,3,1,1
1A,Burwood-Prize,overhead-sprays,3,10,4,1,1
1A,Burwood-Prize,overhead-sprays,3,10,5,1,1
1A,Burwood-Prize,overhead-sprays,3,10,6,1,1
1A,Burwood-Prize,overhead-sprays,3,11,1,0,1
1A,Burwood-Prize,overhead-sprays,3,11,2,0,1
1A,Burwood-Prize,overhead-sprays,3,11,3,1,1
1A,Burwood-Prize,overhead-sprays,3,11,4,1,1
1A,Burwood-Prize,overhead-sprays,3,11,5,1,1
1A,Burwood-Prize,overhead-sprays,3,11,6,1,1
1A,Burwood-Prize,overhead-sprays,3,12,1,0,1
