pattern,mu,x,y,r,n
regular,0.25,10,10,89,100
regular,0.25,11,10,31,100
regular,0.25,12,10,13,100
regular,0.25,1,11,10,100
regular,0.25,2,11,21,100
regular,0.25,3,11,26,100
regular,0.25,4,11,27,100
regular,0.25,5,11,20,100
regular,0.25,6,11,7,100
regular,0.25,7,11,9,100
regular,0.25,8,11,9,100
regular,0.25,9,11,29,100
regular,0.25,10,11,29,100
regular,0.25,11,11,49,100
regular,0.25,12,11,10,100
regular,0.25,1,12,6,100
regular,0.25,2,12,17,100
regular,0.25,3,12,2,100
regular,0.25,4,12,3,100
regular,0.25,5,12,9,100
regular,0.25,6,12,9,100
regular,0.25,7,12,15,100
regular,0.25,8,12,14,100
regular,0.25,9,12,58,100
regular,0.25,10,12,23,100
regular,0.25,11,12,19,100
regular,0.25,12,12,4,100
regular,4,1,1,5,100
regular,4,2,1,20,100
regular,4,3,1,24,100
regular,4,4,1,30,100
regular,4,5,1,18,100
regular,4,6,1,15,100
regular,4,7,1,9,100
regular,4,8,1,8,100
regular,4,9,1,24,100
regular,4,10,1,25,100
regular,4,11,1,7,100
regular,4,12,1,5,100
regular,4,1,2,13,100
regular,4,2,2,56,100
regular,4,3,2,79,100
regular,4,4,2,58,100
regular,4,5,2,29,100
regular,4,6,2,14,100
regular,4,7,2,18,100
regular,4,8,2,18,100
regular,4,9,2,45,100
regular,4,10,2,34,100
regular,4,11,2,12,100
regular,4,12,2,1,100
regular,4,1,3,23,100
regular,4,2,3,59,100
regular,4,3,3,96,100
regular,4,4,3,80,100
regular,4,5,3,37,100
regular,4,6,3,19,100
regular,4,7,3,24,100
regular,4,8,3,45,100
regular,4,9,3,88,100
regular,4,10,3,66,100
regular,4,11,3,23,100
regular,4,12,3,19,100
regular,4,1,4,14,100
regular,4,2,4,35,100
regular,4,3,4,73,100
regular,4,4,4,86,100
regular,4,5,4,41,100
regular,4,6,4,23,100
regular,4,7,4,18,100
regular,4,8,4,42,100
regular,4,9,4,75,100
regular,4,10,4,69,100
regular,4,11,4,28,100
regular,4,12,4,9,100
regular,4,1,5,13,100
regular,4,2,5,19,100
regular,4,3,5,41,100
regular,4,4,5,40,100
regular,4,5,5,40,100
regular,4,6,5,17,100
regular,4,7,5,16,100
regular,4,8,5,29,100
regular,4,9,5,51,100
regular,4,10,5,25,100
regular,4,11,5,28,100
regular,4,12,5,26,100
regular,4,1,6,12,100
regular,4,2,6,20,100
regular,4,3,6,22,100
regular,4,4,6,10,100
regular,4,5,6,37,100
regular,4,6,6,9,100
regular,4,7,6,9,100
regular,4,8,6,31,100
regular,4,9,6,18,100
regular,4,10,6,11,100
regular,4,11,6,17,100
regular,4,12,6,8,100
regular,4,1,7,30,100
regular,4,2,7,15,100
regular,4,3,7,11,100
regular,4,4,7,14,100
regular,4,5,7,21,100
regular,4,6,7,8,100
regular,4,7,7,8,100
regular,4,8,7,15,100
regular,4,9,7,13,100
regular,4,10,7,11,100
regular,4,11,7,6,100
regular,4,12,7,7,100
regular,4,1,8,36,100
regular,4,2,8,52,100
regular,4,3,8,29,100
regular,4,4,8,27,100
regular,4,5,8,19,100
regular,4,6,8,12,100
regular,4,7,8,7,100
regular,4,8,8,18,100
regular,4,9,8,19,100
regular,4,10,8,31,100
regular,4,11,8,23,100
regular,4,12,8,6,100
regular,4,1,9,32,100
regular,4,2,9,47,100
regular,4,3,9,55,100
regular,4,4,9,43,100
regular,4,5,9,13,100
regular,4,6,9,9,100
regular,4,7,9,15,100
regular,4,8,9,15,100
regular,4,9,9,61,100
regular,4,10,9,80,100
regular,4,11,9,29,100
regular,4,12,9,16,100
regular,4,1,10,8,100
regular,4,2,10,18,100
regular,4,3,10,62,100
regular,4,4,10,75,100
regular,4,5,10,25,100
regular,4,6,10,26,100
regular,4,7,10,24,100
regular,4,8,10,36,100
regular,4,9,10,72,100
regular,4,10,10,70,100
regular,4,11,10,23,100
regular,4,12,10,6,100
regular,4,1,11,4,100
