x,y,t,r,n
11,13,2,0,1
11,14,1,0,1
11,14,2,0,1
11,15,1,0,1
11,15,2,0,1
11,16,1,0,1
11,16,2,0,1
11,17,1,0,1
11,17,2,0,1
11,18,1,0,1
11,18,2,0,1
11,19,1,1,1
11,19,2,1,1
11,20,1,0,1
11,20,2,0,1
11,21,1,0,1
11,21,2,0,1
12,1,1,0,1
12,1,2,0,1
12,2,1,1,1
12,2,2,1,1
12,3,1,1,1
12,3,2,1,1
12,4,1,1,1
12,4,2,1,1
12,5,1,1,1
12,5,2,1,1
12,6,1,0,1
12,6,2,0,1
12,7,1,0,1
12,7,2,0,1
12,8,1,0,1
12,8,2,0,1
12,9,1,0,1
12,9,2,0,1
12,10,1,0,1
12,10,2,0,1
12,11,1,0,1
12,11,2,0,1
12,12,1,0,1
12,12,2,0,1
12,13,1,0,1
12,13,2,0,1
12,14,1,0,1
12,14,2,0,1
12,15,1,0,1
12,15,2,0,1
12,16,1,0,1
12,16,2,0,1
12,17,1,0,1
12,17,2,0,1
12,18,1,0,1
12,18,2,0,1
12,19,1,0,1
12,19,2,0,1
12,20,1,0,1
12,20,2,0,1
12,21,1,0,1
12,21,2,0,1
13,1,1,1,1
13,1,2,1,1
13,2,1,1,1
13,2,2,1,1
13,3,1,1,1
13,3,2,1,1
13,4,1,1,1
13,4,2,1,1
13,5,1,0,1
13,5,2,1,1
13,6,1,0,1
13,6,2,0,1
13,7,1,0,1
13,7,2,0,1
13,8,1,0,1
13,8,2,0,1
13,9,1,0,1
13,9,2,0,1
13,10,1,0,1
13,10,2,0,1
13,11,1,0,1
13,11,2,0,1
13,12,1,0,1
13,12,2,0,1
13,13,1,0,1
13,13,2,0,1
13,14,1,0,1
13,14,2,0,1
13,15,1,0,1
13,15,2,0,1
13,16,1,0,1
13,16,2,0,1
13,17,1,0,1
13,17,2,0,1
13,18,1,0,1
13,18,2,0,1
13,19,1,1,1
13,19,2,1,1
13,20,1,0,1
13,20,2,0,1
13,21,1,0,1
13,21,2,0,1
14,1,1,0,1
14,1,2,0,1
14,2,1,0,1
14,2,2,1,1
14,3,1,1,1
14,3,2,1,1
14,4,1,1,1
14,4,2,1,1
14,5,1,0,1
14,5,2,1,1
14,6,1,0,1
14,6,2,0,1
14,7,1,0,1
14,7,2,0,1
14,8,1,0,1
14,8,2,0,1
14,9,1,0,1
14,9,2,0,1
14,10,1,0,1
14,10,2,0,1
14,11,1,0,1
14,11,2,0,1
14,12,1,0,1
14,12,2,0,1
14,13,1,0,1
14,13,2,0,1
14,14,1,0,1
14,14,2,0,1
14,15,1,0,1
14,15,2,0,1
14,16,1,0,1
14,16,2,0,1
14,17,1,0,1
